2|CM00407_20060103|S|Successful add of a RateSchedule
101|ABSHE 05-HE6 M9_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #101 of the data file and line #83 of the Rejects file Server Commit Status is: Not found
102|ACE3NC15_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
102|ACE3NC15_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #102 of the data file and line #84 of the Rejects file Server Commit Status is: Not found
103|ACE3OP16_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
103|ACE3OP16_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #103 of the data file and line #85 of the Rejects file Server Commit Status is: Not found
104|ACE4FM16_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
104|ACE4FM16_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #104 of the data file and line #86 of the Rejects file Server Commit Status is: Not found
105|AMSI 04-R11 M8_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
105|AMSI 04-R11 M8_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #105 of the data file and line #87 of the Rejects file Server Commit Status is: Not found
106|AMSI4R29_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
106|AMSI4R29_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #106 of the data file and line #88 of the Rejects file Server Commit Status is: Not found
107|AMT031M6_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
107|AMT031M6_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #107 of the data file and line #89 of the Rejects file Server Commit Status is: Not found
108|ARC2BC6B_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
108|ARC2BC6B_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #108 of the data file and line #90 of the Rejects file Server Commit Status is: Not found
109|ARSI 04-W10 M7_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
109|ARSI 04-W10 M7_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #109 of the data file and line #91 of the Rejects file Server Commit Status is: Not found
110|ARSI 04-W10 M8_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
110|ARSI 04-W10 M8_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #110 of the data file and line #92 of the Rejects file Server Commit Status is: Not found
111|ARSI 2003-W7 M1_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
111|ARSI 2003-W7 M1_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #111 of the data file and line #93 of the Rejects file Server Commit Status is: Not found
112|ARSI3W33_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
112|ARSI3W33_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #112 of the data file and line #94 of the Rejects file Server Commit Status is: Not found
113|ARSI3W34_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
113|ARSI3W34_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #113 of the data file and line #95 of the Rejects file Server Commit Status is: Not found
114|ARSI3W35_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
114|ARSI3W35_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #114 of the data file and line #96 of the Rejects file Server Commit Status is: Not found
115|ARSI3WM6_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
115|ARSI3WM6_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #115 of the data file and line #97 of the Rejects file Server Commit Status is: Not found
116|BAYC 05-3A B2_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
116|BAYC 05-3A B2_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #116 of the data file and line #98 of the Rejects file Server Commit Status is: Not found
117|CBAC 05-1A M2_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
117|CBAC 05-1A M2_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #117 of the data file and line #99 of the Rejects file Server Commit Status is: Not found
118|CBAC 05-1A M3_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
118|CBAC 05-1A M3_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #118 of the data file and line #100 of the Rejects file Server Commit Status is: Not found
119|CBAC 05-1A M4_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
119|CBAC 05-1A M4_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #119 of the data file and line #101 of the Rejects file Server Commit Status is: Not found
120|CBASS34M_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
120|CBASS34M_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #120 of the data file and line #102 of the Rejects file Server Commit Status is: Not found
121|CDCMCHE1_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
121|CDCMCHE1_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #121 of the data file and line #103 of the Rejects file Server Commit Status is: Not found
122|CFAB41M2_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
122|CFAB41M2_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #122 of the data file and line #104 of the Rejects file Server Commit Status is: Not found
123|CFLAT 04-OPT1 M1_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
123|CFLAT 04-OPT1 M1_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #123 of the data file and line #105 of the Rejects file Server Commit Status is: Not found
124|CITHE2MV_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
124|CITHE2MV_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #124 of the data file and line #106 of the Rejects file Server Commit Status is: Not found
125|CMLTI 05-OPT4 M3_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
125|CMLTI 05-OPT4 M3_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #125 of the data file and line #107 of the Rejects file Server Commit Status is: Not found
126|CS02022B_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
126|CS02022B_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #126 of the data file and line #108 of the Rejects file Server Commit Status is: Not found
127|CWL041M9_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
127|CWL041M9_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #127 of the data file and line #109 of the Rejects file Server Commit Status is: Not found
128|CWL45M7_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
128|CWL45M7_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #128 of the data file and line #110 of the Rejects file Server Commit Status is: Not found
129|FHLMCT19_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
129|FHLMCT19_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #129 of the data file and line #111 of the Rejects file Server Commit Status is: Not found
130|FMIC 05-2 M7_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
130|FMIC 05-2 M7_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #130 of the data file and line #112 of the Rejects file Server Commit Status is: Not found
131|FMIC 05-2 M8_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
131|FMIC 05-2 M8_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #131 of the data file and line #113 of the Rejects file Server Commit Status is: Not found
132|FMIC31M5_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
132|FMIC31M5_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #132 of the data file and line #114 of the Rejects file Server Commit Status is: Not found
133|HEAT 04-6 B2_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
133|HEAT 04-6 B2_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #133 of the data file and line #115 of the Rejects file Server Commit Status is: Not found
134|HEAT 04-6 B3_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
134|HEAT 04-6 B3_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #134 of the data file and line #116 of the Rejects file Server Commit Status is: Not found
135|HEAT 05-6 M7_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
135|HEAT 05-6 M7_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #135 of the data file and line #117 of the Rejects file Server Commit Status is: Not found
136|HEAT37B2_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
136|HEAT37B2_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #136 of the data file and line #118 of the Rejects file Server Commit Status is: Not found
137|HEAT41B3_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
137|HEAT41B3_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #137 of the data file and line #119 of the Rejects file Server Commit Status is: Not found
138|HEMT037B_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
138|HEMT037B_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #138 of the data file and line #120 of the Rejects file Server Commit Status is: Not found
139|IMM312B1_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
139|IMM312B1_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #139 of the data file and line #121 of the Rejects file Server Commit Status is: Not found
140|INABS 05-B M9_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
140|INABS 05-B M9_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #140 of the data file and line #122 of the Rejects file Server Commit Status is: Not found
141|JPMAC 05-OPT1 M10_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
141|JPMAC 05-OPT1 M10_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #141 of the data file and line #123 of the Rejects file Server Commit Status is: Not found
142|LBMLT 03-4 M6_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
142|LBMLT 03-4 M6_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #142 of the data file and line #124 of the Rejects file Server Commit Status is: Not found
143|LBMLT34M_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
143|LBMLT34M_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #143 of the data file and line #125 of the Rejects file Server Commit Status is: Not found
144|LBMLT3M3_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
144|LBMLT3M3_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #144 of the data file and line #126 of the Rejects file Server Commit Status is: Not found
145|LBMLT413_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
145|LBMLT413_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #145 of the data file and line #127 of the Rejects file Server Commit Status is: Not found
146|MAB2NC13_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
146|MAB2NC13_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #146 of the data file and line #128 of the Rejects file Server Commit Status is: Not found
147|MABS 04-WMC3 M6_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
147|MABS 04-WMC3 M6_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #147 of the data file and line #129 of the Rejects file Server Commit Status is: Not found
148|MABS3W23_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
148|MABS3W23_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #148 of the data file and line #130 of the Rejects file Server Commit Status is: Not found
149|MS02NC2B_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
149|MS02NC2B_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #149 of the data file and line #131 of the Rejects file Server Commit Status is: Not found
150|MSAC 04-HE4 B3_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
150|MSAC 04-HE4 B3_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #150 of the data file and line #132 of the Rejects file Server Commit Status is: Not found
151|MSAC 04-HE9 B3_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
151|MSAC 04-HE9 B3_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #151 of the data file and line #133 of the Rejects file Server Commit Status is: Not found
152|MSAC 04-NC6 B1_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
152|MSAC 04-NC6 B1_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #152 of the data file and line #134 of the Rejects file Server Commit Status is: Not found
153|MSAC 04-NC6 B3_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
153|MSAC 04-NC6 B3_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #153 of the data file and line #135 of the Rejects file Server Commit Status is: Not found
154|MSAC 04-NC8 B2_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
154|MSAC 04-NC8 B2_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #154 of the data file and line #136 of the Rejects file Server Commit Status is: Not found
155|MSAC 04-NC8 B3_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
155|MSAC 04-NC8 B3_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #155 of the data file and line #137 of the Rejects file Server Commit Status is: Not found
156|MSDWC2B2_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
156|MSDWC2B2_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #156 of the data file and line #138 of the Rejects file Server Commit Status is: Not found
157|MSDWC2M2_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
157|MSDWC2M2_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #157 of the data file and line #139 of the Rejects file Server Commit Status is: Not found
158|OOMLT21A_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
158|OOMLT21A_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #158 of the data file and line #140 of the Rejects file Server Commit Status is: Not found
159|OOMLT232_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
159|OOMLT232_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #159 of the data file and line #141 of the Rejects file Server Commit Status is: Not found
160|OOMLT23A_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
160|OOMLT23A_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #160 of the data file and line #142 of the Rejects file Server Commit Status is: Not found
161|OOMLT26A_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
161|OOMLT26A_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #161 of the data file and line #143 of the Rejects file Server Commit Status is: Not found
162|OOMLT4M1_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
162|OOMLT4M1_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #162 of the data file and line #144 of the Rejects file Server Commit Status is: Not found
163|PPSI 05-WCW3 M9_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
163|PPSI 05-WCW3 M9_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #163 of the data file and line #145 of the Rejects file Server Commit Status is: Not found
164|PPSI 2004-WHQ2 M2_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
164|PPSI 2004-WHQ2 M2_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #164 of the data file and line #146 of the Rejects file Server Commit Status is: Not found
165|RAAC 05-RP2 A_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
165|RAAC 05-RP2 A_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #165 of the data file and line #147 of the Rejects file Server Commit Status is: Not found
166|RAMP 05-EFC2 M10_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
166|RAMP 05-EFC2 M10_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #166 of the data file and line #148 of the Rejects file Server Commit Status is: Not found
167|RAMP04RS8MII4_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
167|RAMP04RS8MII4_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #167 of the data file and line #149 of the Rejects file Server Commit Status is: Not found
168|RAMP3Z5V_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
168|RAMP3Z5V_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #168 of the data file and line #150 of the Rejects file Server Commit Status is: Not found
169|RASC 05-AHL1 A2_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
169|RASC 05-AHL1 A2_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #169 of the data file and line #151 of the Rejects file Server Commit Status is: Not found
170|RASC 05-KS7 M7_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
170|RASC 05-KS7 M7_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #170 of the data file and line #152 of the Rejects file Server Commit Status is: Not found
171|RASC3112_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
171|RASC3112_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #171 of the data file and line #153 of the Rejects file Server Commit Status is: Not found
172|RASC37IB_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
172|RASC37IB_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #172 of the data file and line #154 of the Rejects file Server Commit Status is: Not found
173|SABR 05-FR1 B1_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
173|SABR 05-FR1 B1_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #173 of the data file and line #155 of the Rejects file Server Commit Status is: Not found
174|SABR 05-FR1 B2_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
174|SABR 05-FR1 B2_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #174 of the data file and line #156 of the Rejects file Server Commit Status is: Not found
175|SABR4NCM_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
175|SABR4NCM_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #175 of the data file and line #157 of the Rejects file Server Commit Status is: Not found
176|SAIL 04-4 A1_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
176|SAIL 04-4 A1_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #176 of the data file and line #158 of the Rejects file Server Commit Status is: Not found
177|SAIL 04-8 M7_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
177|SAIL 04-8 M7_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #177 of the data file and line #159 of the Rejects file Server Commit Status is: Not found
178|SAIL 05-HE2 M9_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
178|SAIL 05-HE2 M9_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #178 of the data file and line #160 of the Rejects file Server Commit Status is: Not found
179|SAIL47M5_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
179|SAIL47M5_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #179 of the data file and line #161 of the Rejects file Server Commit Status is: Not found
180|SASC 05-NC2 M9_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
180|SASC 05-NC2 M9_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #180 of the data file and line #162 of the Rejects file Server Commit Status is: Not found
181|SAST041A_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
181|SAST041A_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #181 of the data file and line #163 of the Rejects file Server Commit Status is: Not found
182|SAST42M5_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
182|SAST42M5_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #182 of the data file and line #164 of the Rejects file Server Commit Status is: Not found
183|SAST42M6_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
183|SAST42M6_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #183 of the data file and line #165 of the Rejects file Server Commit Status is: Not found
